id,rating,banned,created
0,4.07106341228,0,1503089296
1,4.19982287061,0,1513791234
2,4.47009991584,0,1501564274
3,4.5953257633,0,1500613835
4,4.28700625478,0,1487607966
5,4.57060876547,0,1509247535
6,3.81054284908,0,1485023878
7,4.49190078751,0,1493046804
8,4.94449194346,0,1498110500
9,4.37650152831,0,1506745032
10,4.4399604741,0,1496614280
11,4.22315586548,0,1503865024
12,4.20195948484,0,1508418605
13,4.73681531345,0,1501436325
14,4.54713612158,0,1499074431
15,4.54291741967,0,1511557414
16,4.79113782459,0,1490066359
17,4.52256641177,0,1504648438
18,4.64599057811,0,1510804267
19,4.31591777742,0,1485387965
20,4.84528986487,0,1495803689
21,4.31731389009,0,1483330202
22,4.72109948706,0,1494913162
23,4.45498110981,0,1503019357
24,4.41515490992,0,1504432917
25,4.31458123347,0,1500150766
26,4.99,0,1484738330
27,4.97603666841,0,1504476184
28,4.4542983791,0,1486357914
29,4.56938764686,1,1487729965
30,4.24660300831,0,1514181784
31,4.17426032285,0,1483973598
32,4.99,0,1504654542
33,4.56207981662,0,1495153881
34,4.51267797276,0,1506358990
35,4.52723095182,0,1509579283
36,4.35714111596,1,1495284528
37,4.57533611505,0,1508604223
38,4.62496773033,0,1512308556
39,4.24940669273,0,1489928841
40,4.02760738463,0,1505036362
41,4.58206943744,0,1510695253
42,4.5543181842,0,1487819393
43,4.17722729686,0,1495096053
44,4.83967412063,0,1513809131
45,4.75636562443,0,1501112148
46,4.50810723625,0,1506964560
47,4.39999634192,1,1510673896
48,4.08196514819,1,1499744132
49,4.38478926662,0,1512090556
50,4.93379238029,0,1499972696
51,4.01808500372,0,1497531156
52,4.89011048596,0,1506504023
53,4.41769566772,0,1494167279
54,4.17300123698,0,1497974288
55,4.32224799911,0,1508097557
56,3.63719491757,0,1512441922
57,4.24626082757,0,1502516043
58,4.2938221422,0,1506545757
59,4.40499716524,0,1512126612
60,4.86939210579,0,1505833188
61,4.15243892452,0,1508778384
62,4.6407936896,0,1498091626
63,4.46505747277,0,1499828572
64,4.99,0,1496465388
65,4.49166068661,0,1488258211
66,4.28083830605,0,1497279166
67,4.76457715264,0,1505781185
68,4.88010668051,0,1512015067
69,3.83930817172,0,1498651400
70,2.41385799194,0,1489680195
71,4.90639840341,0,1485591961
72,3.26981525989,1,1510128914
73,3.22426624026,0,1486480743
74,2.66855555306,0,1503553861
75,3.37326081136,0,1484281318
76,3.86234364024,0,1495495563
77,2.92279634901,0,1508125412
78,4.70659759043,0,1498442510
79,3.91622117576,0,1511841123
80,3.55086062408,0,1501689495
81,3.18462066348,0,1489333514
82,4.51095241461,0,1506278293
83,3.21895518807,0,1505480720
84,3.69924480284,0,1489016837
85,4.3570638755,0,1490012634
86,3.22989570823,0,1498534235
87,3.47793553216,0,1509957162
88,3.89110764827,0,1494340532
89,4.33994146131,1,1500709901
90,3.90562740079,0,1484567232
91,4.43209646702,0,1504677587
92,2.03411293614,0,1498325905
93,3.0106397648,0,1488015372
94,2.89528760741,0,1487583714
95,2.23450045107,1,1514123419
96,3.30445133029,0,1497704500
97,4.1717406958,0,1486934327
98,3.22129783161,0,1485247875
99,3.15148430294,0,1511411589
